"Sr.","Stock Name","Symbol","close","%_change","volume","sma150","market_cap","sector","atr14","ema21","Add Column"
39,"Zim Laboratories Ltd","ZIMLAB","115.2","7.11%","1,40,402","91.55","575.92","healthcare","5.11","113.15",""
40,"Rishabh Instruments Ltd","RISHABH","694.6","7.08%","12,35,809","495.47","2500.29","industrials","34.81","648.66",""
41,"Uttam Sugar Mills Limited","UTTAMSUGAR","283","7.08%","7,08,663","231.69","1007.95","fmcg","13.7","249.46",""
42,"Mawana Sugars Limited","MAWANASUG","124.06","6.91%","8,54,475","97.02","453.91","fmcg","7.05","113.7",""
43,"Apollo Pipes Ltd","APOLLOPIPE","545.3","6.74%","8,16,969","428.26","2250.2","plastic products","20.62","511.38",""
44,"Azad Engineering Ltd","AZAD","2,899.9","6.7%","27,21,054","1932.12","17552.03","aerospace & defence","133.61","2486.12",""
45,"Morepen Laboratories Limited","MOREPENLAB","89.82","6.69%","4,56,28,218","46.88","4613.22","healthcare","5.68","71.08",""
46,"Atlanta Electricals Ltd","ATLANTAELE","1,788.2","6.39%","5,00,044","1387.52","12924.78","industrials","85.77","1648.15",""
47,"Ratnaveer Precision Engineering Ltd","RATNAVEER","244.87","6.39%","1,80,91,539","164.94","1643.96","metals & mining","14.11","204.25",""
48,"Mrs Bectors Food Specialities Ltd","BECTORFOOD","255.3","6.21%","34,61,884","198.93","7379.13","fmcg","11.52","220.85",""
49,"Dhampur Sugar Mills Limited","DHAMPURSUG","170.87","6.18%","13,81,925","135.52","1034.88","fmcg","7.98","152.02",""
50,"Avalon Technologies Ltd","AVALON","2,059.4","6.11%","9,23,261","1301.49","12966.83","consumer discretionary","93.76","1851.89",""
51,"Rudra Global Infra Products Ltd","RUDRA","23.8","5.97%","22,21,218","18.94","225.37","metals & mining","1.9","19.16",""
52,"LMW Ltd","LMW","20,047","5.95%","22,275","15144.65","20213.3","industrials","781.98","17200.08",""
53,"Finolex Cables Limited","FINCABLES","1,320.85","5.94%","23,36,079","951.52","19069.24","industrials","63.71","1113.46",""
54,"Cyient DLM Ltd","CYIENTDLM","737.45","5.86%","5,93,434","430.46","5530.24","aerospace & defence","36.68","666.09",""
55,"Motilal Oswal Financial Services Limited","MOTILALOFS","955","5.68%","59,76,448","825.33","54416","financials","28.15","900",""
56,"Gujarat Narmada Valley Fertilizers And Chemicals Limited","GNFC","600.65","5.57%","20,23,800","484","8360.19","chemicals","16.75","539.11",""
57,"Rajshree Sugars & Chemicals Limited","RAJSREESUG","34.49","5.57%","66,318","31.18","108.25","fmcg","1.82","31.44",""
58,"Nelco Limited","NELCO","1,081.5","5.55%","10,36,912","732.26","2337.97","telecom","56.11","977.87",""
59,"Nrb Bearing Limited","NRBBEARING","484.05","5.48%","9,63,279","332.23","4447.78","industrials","23.01","444.68",""
60,"Pavna Industries Ltd","PAVNAIND","18.92","5.46%","57,035","18.8","250.32","auto","1.29","18.1",""
61,"Avonmore Capital & Management Services Ltd","AVONMORE","13.01","5.34%","3,39,377","12.4","348.5","financials","0.68","11.16",""
62,"V-guard Industries Limited","VGUARD","343.95","5.26%","22,97,117","317.11","14275.42","industrials","13.35","317.92",""
63,"Happy Forgings Ltd","HAPPYFORGE","2,198.1","5.19%","2,20,432","1376.89","19721.38","industrials","85.34","1834.95",""
64,"Regaal Resources Ltd","REGAAL","90.46","5.19%","6,03,769","76.15","883.42","miscellaneous","4.77","84.54",""
65,"Man Industries (india) Limited","MANINDS","630.35","5.15%","9,00,960","476.56","4496.45","metals & mining","29.7","563.22",""
66,"Aries Agro Limited","ARIES","434.65","5.11%","1,83,764","344.03","537.73","chemicals","21.54","364.01",""
67,"Skf India Limited","SKFINDIA","1,652.8","5.05%","3,56,347","1645.2","7778.07","industrials","63.57","1542.93",""
68,"Go Fashion (India) Ltd","GOCOLORS","344.05","5.05%","2,87,388","330.61","1722.52","textiles","12.97","331.93",""
69,"Magadh Sugar & Energy Ltd","MAGADSUGAR","570.65","5.03%","88,459","474.35","765.6","fmcg","28.87","520.63",""
70,"Baazar Style Retail Ltd","STYLEBAAZA","383.5","5%","3,56,870","318.55","2780.19","consumer discretionary","16.68","320.78",""
71,"Bhagyanagar India","BHAGYANGR","382.5","5%","2,33,769","260.76","1165.58","power & utilities","20.76","381.87",""
72,"The Ruby Mills Limited","RUBYMILLS","382.45","5%","12,178","266.31","1218.05","textiles","22.12","373.06",""
73,"Modison Ltd","MODISONLTD","356.1","5%","19,836","206.34","1100.54","industrials","15.75","300.81",""
74,"Menon Bearings Limited","MENONBE","241.16","5%","31,977","147.64","1287.13","auto","13.52","222.64",""
75,"Kopran Limited","KOPRAN","199.71","5%","1,83,408","160.29","918.39","healthcare","9.1","189.2",""
76,"Hindustan Media Ventures Limited","HMVL","90.97","5%","36,329","74.85","638.29","media","4.8","93.02",""
77,"Valiant Laboratories Ltd","VALIANTLAB","86.53","5%","19,553","65.34","447.59","healthcare","3.26","69.36",""
78,"Sanginita Chemicals Ltd","SANGINITA","56.7","5%","11,01,691","28.75","325.87","chemicals","1.41","57.3",""
79,"California Software Company Limited","CALSOFT","25.83","5%","8,98,888","17.65","152.1","i.t","1.17","22.54",""
80,"Amanta Healthcare Ltd","AMANTA","164.13","4.99%","2,48,339","129.73","607.02","healthcare","5.14","163.24",""
81,"Univastu India Ltd","UNIVASTU","168.7","4.98%","2,12,755","81.61","607.25","realty","8.08","136.98",""
82,"Onelife Capital Advisors Limited","ONELIFECAP","35.41","4.98%","51,455","22.92","126.02","financials","2.24","34.43",""
83,"Aksh Optifibre Limited","AKSHOPTFBR","6.98","4.96%","1,34,555","5.83","108.19","industrials","0.33","6.29",""
84,"Balrampur Chini Mills Limited","BALRAMCHIN","655.75","4.95%","13,96,378","516.8","13201.03","fmcg","26.68","619.16",""
85,"GNG Electronics Ltd","EBGNG","593","4.92%","5,84,800","427.02","6443.93","services","29.32","559.31",""
86,"Gayatri Projects Limited","GAYAPROJ","22.2","4.91%","23,85,523","16.07","982.46","realty","1.05","20.43",""
87,"Universal Cables Limited","UNIVCABLES","1,724.6","4.88%","3,02,829","971.79","5705.31","industrials","94.65","1475.97",""
88,"KRN Heat Exchanger and Refrigeration Ltd","KRN","1,539.7","4.86%","9,67,802","1044.61","9611.27","industrials","53.43","1293.38",""
89,"Stallion India Fluorochemicals Ltd","STALLION","240.9","4.81%","7,69,781","175.95","2668.23","chemicals","15.86","242.18",""
90,"Sumit Woods Ltd","SUMIT","53.51","4.8%","35,402","47.7","244.37","realty","3.76","52.17",""
91,"MSTC Ltd","MSTCLTD","653.2","4.78%","8,44,307","507.66","4388.74","i.t","26","609.38",""
92,"Prabha Energy Ltd","PRABHA","163.38","4.78%","50,122","158.52","2285.51","energy","7.28","153.79",""
93,"Manaksia Coated Metals & Industries Limited","MANAKCOAT","121.88","4.75%","4,84,555","114.71","1240.69","metals & mining","5.01","118.94",""
94,"DC Infotech & Communication Ltd","DCI","382.35","4.72%","1,08,521","279.77","598.76","i.t","23.91","331.53",""
95,"Kanpur Plastipack Ltd","KANPRPLA","262.85","4.65%","1,84,581","193.93","614.86","industrials","14.63","222.08",""
96,"Dwarikesh Sugar Industries Limited","DWARKESH","44.94","4.63%","28,17,219","41.24","795.87","fmcg","1.86","41.93",""
97,"Jindal Poly Films Limited","JINDALPOLY","665.65","4.61%","73,464","647.39","2786.13","textiles","28.92","643.83",""
98,"Oberoi Realty Limited","OBEROIRLTY","1,931","4.6%","17,81,893","1654.05","67120.97","realty","51.24","1830.19",""
99,"Senores Pharmaceuticals Ltd","SENORES","1,545.7","4.6%","3,61,867","1021.24","6805.34","healthcare","58.45","1410.17",""
100,"Chennai Petroleum Corporation Limited","CHENNPETRO","1,382.4","4.58%","21,49,658","1046.73","19684.6","energy","77.26","1287.16",""
101,"Rashi Peripherals Ltd","RPTECH","871.85","4.53%","2,79,234","530.49","5496.36","services","42.01","835.84",""
102,"Pvp Ventures Limited","PVP","37.01","4.46%","32,35,182","29.45","922.61","realty","2.33","31.84",""
103,"JNK India Ltd","JNKINDIA","476.35","4.41%","4,88,621","343.96","2552.9","realty","28.1","443.92",""
104,"International Conveyors Ltd","INTLCONV","79.06","4.41%","1,13,700","77.63","482.95","fmcg","3.67","75.74",""
105,"Concord Biotech Ltd","CONCORDBIO","1,515","4.39%","5,99,262","1215.69","15182.95","healthcare","55.22","1390.35",""
106,"Emami Paper Mills Ltd","EMAMIPAP","113.91","4.35%","26,221","84.81","660.41","building materials","5.19","108.01",""
107,"Td Power Systems Limited","TDPOWERSYS","1,548.8","4.32%","24,64,279","1029.61","23193.67","industrials","82.91","1277.37",""
108,"Patel Retail Ltd","PATELRMART","229.1","4.32%","1,22,643","199.46","733.54","consumer discretionary","7.67","221.86",""
109,"Quality Power Electrical Equipments Ltd","QPOWER","1,302.6","4.27%","5,02,379","1020.79","9675.09","industrials","57","1192.95",""
110,"Panacea Biotec Limited","PANACEABIO","413.15","4.21%","1,89,047","410.08","2428.29","healthcare","21.6","433.8",""
111,"NACL Industries Ltd","NACLIND","173.45","4.15%","10,31,474","165.69","3901.09","chemicals","8.59","184.02",""
112,"Netweb Technologies India Ltd","NETWEB","5,212.4","4.1%","14,38,746","3902.78","28511.34","i.t","220.28","4743.17",""
113,"B. L. Kashyap And Sons Limited","BLKASHYAP","53.73","4.09%","2,84,277","52.48","1163.72","realty","2.17","54.22",""
114,"TBO Tek Ltd","TBOTEK","1,700","4.08%","2,91,284","1351.41","17735.64","i.t","63.23","1575.91",""
115,"Dic India Limited","DICIND","591.95","3.99%","59,253","519.3","522.51","chemicals","36.96","529.79",""
116,"Balu Forge Industries Ltd","BALUFORGE","513.35","3.97%","46,66,822","461.86","5909.29","industrials","24.48","460.16",""
117,"Kddl Limited","KDDL","4,084.6","3.93%","28,783","2676.97","4833.86","consumer discretionary","163.53","3607.17",""
118,"Aurum Proptech Ltd","AURUM","229.12","3.92%","1,15,754","190.93","1691.8","i.t","10.23","224.43",""
119,"Modis Navnirman Ltd","MODIS","415.6","3.89%","1,56,149","342.12","783.75","realty","17.91","393.11",""
120,"Mukka Proteins Ltd","MUKKA","27.53","3.89%","13,87,070","23.1","795","fmcg","1.39","24.19",""
121,"Mangalore Refinery And Petrochemicals Limited","MRPL","177.15","3.88%","1,03,48,625","169.21","29888.82","energy","7.55","169.6",""
122,"Shah Alloys Limited","SHAHALLOYS","74.89","3.86%","34,090","67.26","142.76","metals & mining","3.8","70.37",""
123,"Kalpataru Projects International Ltd","KPIL","1,404.2","3.85%","3,58,730","1225.76","23091.86","realty","49.53","1332.27",""
124,"Puravankara Projects Limited","PURVA","226.6","3.84%","2,30,15,575","215.26","5174.84","realty","9.05","215.97",""
125,"Ganesha Ecosphere Limited","GANECOS","1,101.2","3.83%","90,129","935.72","2841.98","textiles","54.98","1103.62",""
126,"Alembic Limited","ALEMBICLTD","90.15","3.8%","6,00,808","89.49","2230.15","realty","2.87","87.77",""
127,"Jyoti CNC Automation Ltd","JYOTICNC","857.95","3.76%","10,04,133","774.26","18805.62","industrials","34.18","816.42",""
128,"Kingfa Science & Technology (india) Limited","KINGFA","6,087.5","3.71%","1,43,470","4759.3","7954.66","plastic products","245.1","5491.34",""
129,"MMP Industries Ltd","MMP","350","3.7%","96,918","262.33","638.58","metals & mining","17.91","315.87",""
130,"Coral India Finance & Housing Ltd","CORALFINAC","34.28","3.69%","3,55,653","33.31","133.24","financials","2.06","33.13",""
131,"Shree Rama Newsprint Limited","RAMANEWS","32.78","3.67%","23,649","31.18","466.46","miscellaneous","2.03","31.39",""
132,"Nuvama Wealth Management Ltd","NUVAMA","1,731.2","3.66%","6,20,062","1487.97","30484.14","financials","67.64","1745.04",""
133,"Sanghvi Movers Limited","SANGHVIMOV","506.95","3.66%","3,16,845","344.73","4234","miscellaneous","24.52","470.46",""
134,"Kriti Nutrients Ltd","KRITINUT","85.15","3.64%","16,080","78.37","411.65","fmcg","4.96","82.24",""
135,"Bajaj Hindusthan Sugar Limited","BAJAJHIND","17.93","3.64%","1,04,01,785","17.58","4135.85","fmcg","0.73","17.59",""
136,"SML Mahindra Ltd","SMLMAH","5,321","3.63%","3,97,440","4158.13","7430.47","auto","349.27","4975.34",""
137,"Sonam Ltd","SONAMLTD","57.39","3.63%","69,525","51.13","221.7","consumer discretionary","2.71","54.88",""
138,"Pasupati Acrylon Ltd","PASUPTAC","61.08","3.58%","52,146","54.34","525.62","textiles","2.81","60.72",""
139,"Standard Industries Limited","SIL","20.29","3.57%","2,33,965","15.56","126.02","textiles","1.48","17.9",""
140,"Vindhya Telelinks Limited","VINDHYATEL","2,486.6","3.54%","48,718","1581.9","2846.1","realty","149.2","2246.45",""
141,"KFin Technologies Ltd","KFINTECH","973","3.51%","21,05,146","927.12","16245.8","financials","28.08","927.99",""
142,"Yasho Industries Ltd","YASHO","4,362.3","3.48%","58,050","2090.84","5082.91","chemicals","226.6","3836.12",""
143,"Gna Axles Limited","GNA","561.55","3.47%","6,40,142","424.74","2329.85","auto","24.35","528.04",""
144,"Standard Enginnering Technology Ltd","SETL","308.7","3.45%","19,91,352","170.22","5952.83","industrials","13.18","283.22",""
145,"Neueon Corporation Ltd","NEUEON","17.55","3.42%","29,976","8.29","959.56","services","1","15.8",""
146,"Sakthi Sugars Limited","SAKHTISUG","17.63","3.4%","3,12,531","17.13","202.64","fmcg","0.75","17.22",""
147,"Bharat Heavy Electricals Limited","BHEL","435.95","3.38%","1,53,51,093","337.15","146838.61","industrials","11.97","413.21",""
148,"Spml Infra Limited","SPMLINFRA","197","3.38%","3,52,862","189.59","1616.79","realty","7.63","193.67",""
149,"Dynamic Cables Ltd","DYCL","465.35","3.37%","7,13,278","333.15","2181.61","industrials","21.95","418.59",""
150,"Sakar Healthcare Ltd","SAKAR","905.35","3.36%","1,09,534","651.15","1948.98","healthcare","55.06","890.59",""
151,"Deepak Nitrite Limited","DEEPAKNTR","1,780.5","3.33%","4,76,775","1623.54","23503.25","chemicals","56.77","1716.64",""
152,"20 Microns Limited","20MICRONS","197.26","3.33%","2,44,646","181.29","673.62","metals & mining","7.13","194.06",""
153,"Rossell Techsys Ltd","ROSSTECH","1,108.9","3.3%","5,91,610","863.9","4046.53","aerospace & defence","56.32","1042.77",""
154,"Indostar Capital Finance Ltd","INDOSTAR","247.15","3.3%","3,36,399","227.43","3865.92","financials","11.06","249",""
155,"Sportking India Ltd","SPORTKING","206.41","3.26%","4,55,250","147.17","2540.04","textiles","10.6","204.43",""
156,"Harsha Engineers International Ltd","HARSHA","425.6","3.24%","3,20,928","390.69","3753.29","industrials","15.91","414.34",""
157,"Godrej Properties Limited","GODREJPROP","2,054","3.22%","7,65,350","1808.38","59943.97","realty","63.56","2052.39",""
158,"Premier Explosives Limited","PREMEXPLN","672.65","3.18%","6,42,489","572.66","3504.69","aerospace & defence","13.41","664.4",""
159,"Ashok Leyland Limited","ASHOKLEY","177.1","3.18%","3,80,86,255","172.34","100818.84","auto","5.53","168.92",""
160,"Ig Petrochemicals Limited","IGPL","472.8","3.16%","1,39,135","409.78","1411.33","chemicals","22.17","468.4",""
161,"City Union Bank Limited","CUB","215.2","3.14%","32,96,615","203.19","20671.78","bank","7.8","213.99",""
162,"OCCL Ltd","OCCLLTD","156.97","3.13%","41,316","109.85","760.3","chemicals","8.51","152.29",""
163,"Mahamaya Steel Industries Limited","MAHASTEEL","1,099.1","3.11%","15,007","859.5","1751.91","metals & mining","56.37","977.86",""
164,"Jagsonpal Pharmaceuticals Limited","JAGSNPHARM","233.53","3.08%","91,656","200.04","1491.5","healthcare","9.07","230.03",""
165,"National Aluminium Company Limited","NATIONALUM","387.55","3.07%","97,24,992","379.87","69057.36","metals & mining","15.45","374",""
166,"Ramkrishna Forgings Limited","RKFORGE","755","3.06%","10,27,756","567.45","13345.78","industrials","24.65","682.61",""
167,"Kei Industries Limited","KEI","5,873","3.04%","3,43,807","4847.03","54492.34","industrials","150.93","5430.47",""
168,"Panache Digilife Ltd","PANACHE","540.65","3.03%","15,414","357.93","840.33","i.t","29.87","466.17",""
169,"Century Extrusions Limited","CENTEXT","21.93","3.01%","10,11,803","20.39","170.32","metals & mining","1.37","20.97",""
170,"Vidhi Specialty Food Ingredients","VIDHIING","319.2","3%","66,997","304.08","1547.8","chemicals","12.6","312.99",""
171,"Nippon Life India Asset Management Ltd","NAM-INDIA","1,202.7","2.98%","10,13,133","1019.89","74663.37","financials","29.45","1175.65",""
172,"Punjab Chemicals & Crop Protection Limited","PUNJABCHEM","1,127.3","2.97%","8,943","1069.99","1342.46","chemicals","38.86","1116.09",""
173,"Neogen Chemicals Ltd","NEOGEN","2,270.1","2.96%","2,40,329","1640.64","6037.39","chemicals","104.53","2102.23",""
174,"Genus Power Infrastructures Limited","GENUSPOWER","318.25","2.96%","33,14,945","290.33","9404.14","consumer discretionary","10.86","311.46",""
175,"CP Capital Limited","CPCAP","130.32","2.96%","34,923","99.69","230.27","financials","8.6","118.47",""
176,"DEE Development Engineers Ltd","DEEDEV","650.55","2.94%","4,12,779","447.33","4754.76","metals & mining","32.64","652.27",""
177,"Sirca Paints India Ltd","SIRCA","439.45","2.94%","4,81,346","432.94","2424.48","building materials","13.13","426.02",""
178,"E2E Networks Ltd","E2E","686.15","2.91%","11,84,896","334.39","13706.04","i.t","39.57","566.17",""
179,"Ind-swift Laboratories Limited","INDSWFTLAB","313.02","2.91%","25,53,952","161.81","2645.2","healthcare","18.32","254.51",""
180,"Tamilnadu Petroproducts Limited","TNPETRO","114.16","2.91%","7,49,352","92.05","998.05","energy","5.54","101.62",""
181,"Hindustan Foods Ltd","HNDFDS","608.45","2.88%","1,24,297","519.64","7165.56","fmcg","18.04","580.79",""
182,"Mishra Dhatu Nigam Ltd","MIDHANI","428.6","2.86%","24,06,627","380.83","7806.46","aerospace & defence","23.23","418.1",""
183,"Godrej Agrovet Ltd","GODREJAGRO","597","2.84%","4,39,383","575.66","11166.5","fmcg","16.48","564.88",""
184,"L&T Finance Ltd","LTF","315","2.84%","30,74,384","289","76743.65","financials","8.29","312.14",""
185,"Cosmo First Ltd","COSMOFIRST","964.85","2.82%","2,08,360","730.89","2463.14","industrials","37.07","898.1",""
186,"Art Nirman Ltd","ARTNIRMAN","42.23","2.82%","507","41.23","102.49","realty","2.51","40.79",""
187,"Archidply Industries Limited","ARCHIDPLY","95.91","2.8%","29,556","81.61","185.34","building materials","4.39","87.15",""
188,"Bosch Home Comfort India Ltd","BOSCH-HCIL","1,700.4","2.79%","65,998","1372.08","4497.92","consumer discretionary","68.78","1537.97",""
189,"Indiabulls Limited","IBULLSLTD","27.83","2.77%","1,05,29,504","18.47","6308.4","miscellaneous","1.64","28.27",""
190,"Gocl Corporation Limited","GOCLCORP","408","2.74%","74,984","327.8","1968.52","miscellaneous","17.91","411.34",""
191,"South West Pinnacle Exploration Ltd","SOUTHWEST","226.28","2.74%","1,19,123","220.42","719.15","metals & mining","9.51","229.38",""
192,"Endurance Technologies Limited","ENDURANCE","2,978.2","2.73%","2,92,019","2554.94","40778.16","auto","91.75","2858.68",""
193,"PSP Projects Ltd","PSPPROJECT","947","2.67%","54,984","828.81","3656.56","realty","38.73","966.16",""
194,"International Gemmological Institute (India) Ltd","IGIL","355.15","2.67%","10,99,849","340.36","14948.4","miscellaneous","12.1","350.38",""
195,"Borosil Ltd","BOROLTD","244.81","2.62%","2,44,155","241.55","2852.76","building materials","9.92","240.01",""
196,"Hmt Limited","HMT","60.28","2.62%","17,529","57.33","7072.83","consumer discretionary","2.29","60.62",""
197,"Gokaldas Exports Limited","GOKEX","804.1","2.61%","3,61,997","714.41","5742.09","consumer discretionary","26.43","801.85",""
198,"Action Construction Equipment Limited","ACE","1,113.7","2.59%","2,80,151","919.58","12927.67","industrials","37.64","1070.97",""
199,"Ifci Limited","IFCI","78.93","2.59%","3,21,61,222","64.96","20730.05","financials","2.78","75.19",""
200,"Aptech Limited","APTECHT","94.78","2.56%","58,009","93.7","536","i.t","3.53","95.05",""
201,"New India Assurance Company Ltd","NIACL","183.64","2.55%","19,32,986","158.54","29512.38","financials","6.12","177.49",""
202,"Asian Hotels (west) Limited","AHLWEST","563.95","2.54%","282","388","640.82","services","25.38","552.07",""
203,"Zee Entertainment Enterprises Limited","ZEEL","104.87","2.53%","5,60,21,626","92.27","9824.19","media","5.86","100.86",""
204,"Suryalakshmi Cotton Mills Limited","SURYALAXMI","57.66","2.52%","1,857","57.26","105.76","textiles","2.72","58.59",""
205,"Aaron Industries Ltd","AARON","138.85","2.5%","45,906","137.82","283.74","industrials","7.95","133.17",""
206,"Welspun Living Ltd","WELSPUNLIV","168.15","2.49%","1,07,35,012","139.16","15499.61","textiles","7.64","162.43",""
207,"Prudent Corporate Advisory Services Ltd","PRUDENT","3,338","2.48%","27,194","2696.74","13486.57","financials","123.68","3218.33",""
208,"Polyplex Corporation Limited","POLYPLEX","1,210.8","2.48%","1,95,251","923.88","3709.02","industrials","44.88","1135.86",""
209,"Vardhman Textiles Limited","VTL","605.25","2.48%","1,34,126","564.37","17096.44","textiles","15.76","606.78",""
210,"Vedant Fashions Ltd","MANYAVAR","541.85","2.48%","4,01,341","430.15","12847.42","consumer discretionary","19.81","477.19",""
211,"Revathi Equipment India Ltd","RVTH","747.7","2.44%","1,602","664.25","223.86","industrials","34.16","719.62",""
212,"Physicswallah Ltd","PWL","119.97","2.43%","10,36,84,614","112.08","33975.18","services","6.47","125.68",""
213,"Tourism Finance Corporation Of India Limited","TFCILTD","120.28","2.42%","4,20,19,586","76.1","5437.2","financials","4.55","105.44",""
214,"Embassy Development Limited","EMBDL","63.11","2.42%","17,76,804","60.58","8569.08","realty","2.42","62.48",""
215,"Uno Minda Ltd","UNOMINDA","1,269.9","2.41%","14,14,213","1138.92","71605.93","auto","30.86","1217.56",""
216,"Elgi Equipments Limited","ELGIEQUIP","624.2","2.41%","13,99,590","536.46","19315.6","industrials","18.4","587.6",""
217,"J.kumar Infraprojects Limited","JKIL","509.65","2.41%","1,77,449","509.2","3765.49","realty","12.2","494.51",""
218,"Krbl Limited","KRBL","395.7","2.41%","8,74,538","350.52","8844.31","fmcg","14.58","370.45",""
219,"Steel Authority Of India Limited","SAIL","173.6","2.41%","1,08,50,564","168.66","70016.53","metals & mining","6.64","170.7",""
220,"Thermax Limited","THERMAX","4,141.4","2.39%","3,97,968","3889","48197.53","industrials","155.7","4232.93",""
221,"Akums Drugs & Pharmaceuticals Ltd","AKUMS","744","2.39%","3,04,026","546.94","11436.25","healthcare","28.95","700.8",""
222,"Goldiam International Limited","GOLDIAM","374.4","2.39%","13,36,547","372.63","5505.12","consumer discretionary","18.98","372.21",""
223,"Chalet Hotels Ltd","CHALET","844.7","2.38%","91,599","805.32","18069.21","services","22.85","831.98",""
224,"Kirloskar Industries Limited","KIRLOSIND","3,842.9","2.36%","5,955","3292.19","3945.64","financials","128.33","3813.73",""
